name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
Lusette,0.716,0.128,0,-11.763,0,0.136,0.612,0.949,0.122,0.229,160.154,audio_features,2ZANp8Pwhijw0LMxV3v3GS,spotify:track:2ZANp8Pwhijw0LMxV3v3GS,https://api.spotify.com/v1/tracks/2ZANp8Pwhijw0LMxV3v3GS,https://api.spotify.com/v1/audio-analysis/2ZANp8Pwhijw0LMxV3v3GS,121152,4
Fire,0.704,0.634,11,-7.374,0,0.0428,0.393,3.17E-05,0.0952,0.411,113.927,audio_features,1I8tHoNBFTuoJAlh4hfVVE,spotify:track:1I8tHoNBFTuoJAlh4hfVVE,https://api.spotify.com/v1/tracks/1I8tHoNBFTuoJAlh4hfVVE,https://api.spotify.com/v1/audio-analysis/1I8tHoNBFTuoJAlh4hfVVE,271640,4
Come To Me,0.548,0.55,0,-8.308,1,0.0253,0.134,0.000509,0.373,0.534,101.544,audio_features,5DqDDxSBUjo3WCl48jY2FC,spotify:track:5DqDDxSBUjo3WCl48jY2FC,https://api.spotify.com/v1/tracks/5DqDDxSBUjo3WCl48jY2FC,https://api.spotify.com/v1/audio-analysis/5DqDDxSBUjo3WCl48jY2FC,200120,4
Summer Bummer (feat. A$AP Rocky & Playboi Carti),0.76,0.574,1,-8.57,1,0.126,0.0155,2.02E-05,0.199,0.137,134.981,audio_features,5QqyRUZeBE04yJxsD1OC0I,spotify:track:5QqyRUZeBE04yJxsD1OC0I,https://api.spotify.com/v1/tracks/5QqyRUZeBE04yJxsD1OC0I,https://api.spotify.com/v1/audio-analysis/5QqyRUZeBE04yJxsD1OC0I,260672,4
Do the Evolution,0.466,0.981,10,-5.011,1,0.063,0.00041,0.0108,0.0673,0.325,140.643,audio_features,0dIipTYASaFwX1QxVrVFV7,spotify:track:0dIipTYASaFwX1QxVrVFV7,https://api.spotify.com/v1/tracks/0dIipTYASaFwX1QxVrVFV7,https://api.spotify.com/v1/audio-analysis/0dIipTYASaFwX1QxVrVFV7,231253,4
Sweet Dreams,0.692,0.711,0,-7.498,0,0.0317,0.225,0,0.12,0.875,125.135,audio_features,1TfqLAPs4K3s2rJMoCokcS,spotify:track:1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/tracks/1TfqLAPs4K3s2rJMoCokcS,https://api.spotify.com/v1/audio-analysis/1TfqLAPs4K3s2rJMoCokcS,216933,4
Warm Forest Rain,0.118,0.998,9,-17.622,1,0.0464,0.138,0.988,0.371,0.00173,82.788,audio_features,4pN5YIDWSJ4G3Kpl1oEHDZ,spotify:track:4pN5YIDWSJ4G3Kpl1oEHDZ,https://api.spotify.com/v1/tracks/4pN5YIDWSJ4G3Kpl1oEHDZ,https://api.spotify.com/v1/audio-analysis/4pN5YIDWSJ4G3Kpl1oEHDZ,232275,3
Futures,0.394,0.945,3,-3.914,1,0.0564,9.88E-05,1.65E-06,0.106,0.405,168.062,audio_features,6pfjJTbnZ8hIRuppbLhvVu,spotify:track:6pfjJTbnZ8hIRuppbLhvVu,https://api.spotify.com/v1/tracks/6pfjJTbnZ8hIRuppbLhvVu,https://api.spotify.com/v1/audio-analysis/6pfjJTbnZ8hIRuppbLhvVu,238427,4
El Cubo,0.934,0.814,1,-5.251,1,0.219,0.235,0,0.06,0.883,106.992,audio_features,25kTE35NF5YD9kR1J639Pd,spotify:track:25kTE35NF5YD9kR1J639Pd,https://api.spotify.com/v1/tracks/25kTE35NF5YD9kR1J639Pd,https://api.spotify.com/v1/audio-analysis/25kTE35NF5YD9kR1J639Pd,114442,4
Green River,0.702,0.772,9,-9.677,1,0.0277,0.0312,0.00837,0.0809,0.973,141.694,audio_features,11DjZQEZ69EXLo77HVj6yW,spotify:track:11DjZQEZ69EXLo77HVj6yW,https://api.spotify.com/v1/tracks/11DjZQEZ69EXLo77HVj6yW,https://api.spotify.com/v1/audio-analysis/11DjZQEZ69EXLo77HVj6yW,154120,4
Pretty Penny - 2019 Remaster,0.604,0.417,9,-10.009,1,0.0282,0.801,4.39E-05,0.134,0.397,127.915,audio_features,66smTQp4sh79sF2cLEIf3H,spotify:track:66smTQp4sh79sF2cLEIf3H,https://api.spotify.com/v1/tracks/66smTQp4sh79sF2cLEIf3H,https://api.spotify.com/v1/audio-analysis/66smTQp4sh79sF2cLEIf3H,223333,3
MI AGÜITA AMARILLA,0.712,0.55,0,-14.292,1,0.0467,0.124,0,0.22,0.893,130.46,audio_features,2fYRXoal0ysbJJBUddCGDb,spotify:track:2fYRXoal0ysbJJBUddCGDb,https://api.spotify.com/v1/tracks/2fYRXoal0ysbJJBUddCGDb,https://api.spotify.com/v1/audio-analysis/2fYRXoal0ysbJJBUddCGDb,339933,4
The Fight Song,0.47,0.984,1,-3.783,0,0.0939,0.000133,0.000224,0.212,0.0368,130.055,audio_features,6pfdW2NouUI3ZnugM7r0G0,spotify:track:6pfdW2NouUI3ZnugM7r0G0,https://api.spotify.com/v1/tracks/6pfdW2NouUI3ZnugM7r0G0,https://api.spotify.com/v1/audio-analysis/6pfdW2NouUI3ZnugM7r0G0,175760,4
Sueño Real,0.769,0.424,7,-9.051,1,0.25,0.0545,3.2E-05,0.0793,0.801,74.956,audio_features,702QcZTihJv1pu8OLDvdQs,spotify:track:702QcZTihJv1pu8OLDvdQs,https://api.spotify.com/v1/tracks/702QcZTihJv1pu8OLDvdQs,https://api.spotify.com/v1/audio-analysis/702QcZTihJv1pu8OLDvdQs,212827,4
State of Unreality,0.0621,0.0402,5,-29.003,1,0.055,0.784,0.855,0.113,0.0362,69.037,audio_features,3rKCZIXrsC7T6XPJhXKAQJ,spotify:track:3rKCZIXrsC7T6XPJhXKAQJ,https://api.spotify.com/v1/tracks/3rKCZIXrsC7T6XPJhXKAQJ,https://api.spotify.com/v1/audio-analysis/3rKCZIXrsC7T6XPJhXKAQJ,161379,4
